Model,AUC-ROC,Avg Precision,F1 (Default)
Baseline RF (balanced),0.7601622364910836,0.535969473954635,0.4463054187192118
SMOTE RF,0.7504275471124263,0.4982453235404875,0.503125
Tuned RF,0.7767912994384356,0.5537181917522175,0.5454545454545454
