,precision,recall,f1-score,support
No Default,0.8772992373261552,0.8369355874170769,0.8566422078633228,4673.0
Default,0.5058365758754864,0.587792012057272,0.5437434646218194,1327.0
accuracy,0.7818333333333334,0.7818333333333334,0.7818333333333334,0.7818333333333334
macro avg,0.6915679066008208,0.7123637997371745,0.7001928362425711,6000.0
weighted avg,0.7951440787019823,0.7818333333333334,0.7874394358164103,6000.0
