epoch,train_loss,val_loss,val_auc
1,0.9992142978310585,0.9067123283942541,0.7581382835620124
2,0.8982000482579072,0.9034438860416413,0.7635007038215951
3,0.8935238127907117,0.9006047119696935,0.7680006025559254
4,0.8877319207787514,0.8973168065150579,0.7626914601300432
5,0.8803171360989411,0.8940929404894511,0.7686797374952011
6,0.8783680226902167,0.8978623272975286,0.7676043565397974
7,0.8778855488200983,0.8978681820631027,0.770947886973406
8,0.8737049077947935,0.8954376196861267,0.7709594745873549
9,0.8722999406357607,0.8992055451869965,0.7721802045264242
10,0.8680450460811456,0.8903409512837728,0.772792710685493
11,0.867813146362702,0.8887490946054458,0.7723736672984436
12,0.864546231875817,0.8915487583478292,0.7728105959157187
13,0.8646349194645881,0.8923237788677215,0.7709213110327183
14,0.8656589538852374,0.8889662935336431,0.7714654250790226
15,0.8645263826847076,0.8911618024110795,0.7721314609764429
16,0.8635448195040226,0.88886774122715,0.7744557851918354
17,0.8643373079101244,0.8885580521821975,0.7733049587934372
18,0.8609444700678189,0.8946341403325399,0.7711747271116914
19,0.8604098164041837,0.8879584189256032,0.7742687459884184
20,0.8576851724088193,0.8939493596553802,0.7711851811547108
21,0.8542643335958322,0.9034031919638316,0.7742778145558569
